NACA 23012
    1.000000     -0.1738026E-12
   0.9910556      0.2692330E-02
   0.9779031      0.4808303E-02
   0.9602684      0.7578741E-02
   0.9382673      0.1096746E-01
   0.9135974      0.1467872E-01
   0.8878251      0.1845971E-01
   0.8616770      0.2219903E-01
   0.8354014      0.2586129E-01
   0.8090757      0.2943679E-01
   0.7827260      0.3292290E-01
   0.7563630      0.3631838E-01
   0.7299929      0.3962181E-01
   0.7036212      0.4283104E-01
   0.6772527      0.4594312E-01
   0.6508925      0.4895417E-01
   0.6245455      0.5185934E-01
   0.5982171      0.5465281E-01
   0.5719128      0.5732773E-01
   0.5456384      0.5987616E-01
   0.5194000      0.6228901E-01
   0.4932046      0.6455603E-01
   0.4670595      0.6666565E-01
   0.4409729      0.6860498E-01
   0.4149543      0.7035961E-01
   0.3890144      0.7191354E-01
   0.3631659      0.7324902E-01
   0.3374240      0.7434627E-01
   0.3118080      0.7518332E-01
   0.2863431      0.7573567E-01
   0.2610671      0.7597606E-01
   0.2360458      0.7587471E-01
   0.2114158      0.7540171E-01
   0.1874901      0.7452817E-01
   0.1646673      0.7313895E-01
   0.1430709      0.7108672E-01
   0.1227237      0.6827555E-01
   0.1036748      0.6466372E-01
   0.8604778E-01  0.6027720E-01
   0.7005418E-01  0.5523328E-01
   0.5595254E-01  0.4975461E-01
   0.4393622E-01  0.4413629E-01
   0.3401363E-01  0.3865762E-01
   0.2599184E-01  0.3350009E-01
   0.1956837E-01  0.2873186E-01
   0.1443457E-01  0.2434288E-01
   0.1033160E-01  0.2028604E-01
   0.7064580E-02  0.1650393E-01
   0.4497537E-02  0.1294215E-01
   0.2543322E-02  0.9555771E-02
   0.1154024E-02  0.6313987E-02
   0.3098485E-03  0.3206608E-02
   0.2057109E-05  0.2555288E-03
   0.2331780E-03 -0.2631240E-02
   0.1123411E-02 -0.5544880E-02
   0.2769580E-02 -0.8331277E-02
   0.5167551E-02 -0.1087569E-01
   0.8273998E-02 -0.1314887E-01
   0.1208877E-01 -0.1518518E-01
   0.1669467E-01 -0.1704162E-01
   0.2227823E-01 -0.1877767E-01
   0.2916492E-01 -0.2045270E-01
   0.3788568E-01 -0.2213183E-01
   0.4926006E-01 -0.2389562E-01
   0.6435647E-01 -0.2584548E-01
   0.8393763E-01 -0.2807877E-01
   0.1073499     -0.3060035E-01
   0.1327320     -0.3328003E-01
   0.1585224     -0.3592482E-01
   0.1840012     -0.3835022E-01
   0.2090623     -0.4040139E-01
   0.2340295     -0.4201938E-01
   0.2591347     -0.4325844E-01
   0.2844234     -0.4415973E-01
   0.3098874     -0.4475437E-01
   0.3355067     -0.4506889E-01
   0.3612607     -0.4512680E-01
   0.3871313     -0.4494924E-01
   0.4131029     -0.4455528E-01
   0.4391624     -0.4396214E-01
   0.4652984     -0.4318538E-01
   0.4915009     -0.4223904E-01
   0.5177611     -0.4113573E-01
   0.5440711     -0.3988674E-01
   0.5704236     -0.3850214E-01
   0.5968119     -0.3699081E-01
   0.6232299     -0.3536050E-01
   0.6496717     -0.3361792E-01
   0.6761316     -0.3176872E-01
   0.7026044     -0.2981757E-01
   0.7290848     -0.2776819E-01
   0.7555676     -0.2562335E-01
   0.7820475     -0.2338498E-01
   0.8085176     -0.2105425E-01
   0.8349670     -0.1863191E-01
   0.8613688     -0.1611952E-01
   0.8876423     -0.1352360E-01
   0.9135301     -0.1086954E-01
   0.9382821     -0.8239259E-02
   0.9603025     -0.5820087E-02
   0.9779064     -0.3832004E-02
   0.9910270     -0.2301052E-02
    1.000000     -0.1738024E-12
